"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","transitions to COMPLETE when all eSIMs fetched","Order Lifecycle State Machine","Sat Mar 28 14:49:37 UTC 2026","passed","Sat Mar 28 14:49:37 UTC 2026","","CREATED → COMPLETE","",""
"","1","propagates 503 Service Unavailable from createOrder","runAiraloOrderFlow","Sat Mar 28 14:49:41 UTC 2026","passed","Sat Mar 28 14:49:41 UTC 2026","","order creation errors — HTTP status codes","",""
"","1","propagates ENOTFOUND network error from createOrder","runAiraloOrderFlow","Sat Mar 28 14:49:41 UTC 2026","passed","Sat Mar 28 14:49:41 UTC 2026","","network-level errors (no HTTP response)","",""
"","0","RESOLVED + NOT_FOUND → RESOLVED","eSIM Fetch Lifecycle State Machine","Sat Mar 28 14:49:37 UTC 2026","passed","Sat Mar 28 14:49:37 UTC 2026","","exhaustive state × event transition matrix","",""
"","0","optional direct_apple_installation_url absent is valid","backward compatibility — esim","Sat Mar 28 14:49:43 UTC 2026","passed","Sat Mar 28 14:49:43 UTC 2026","","","",""
"","482","obtains an OAuth2 access token","Live Airalo Partner API","Sat Mar 28 14:52:00 UTC 2026","passed","Sat Mar 28 14:52:01 UTC 2026","","Authentication — POST /token","",""
"","0","UNRESOLVED + FETCH → FETCHING","eSIM Fetch Lifecycle State Machine","Sat Mar 28 14:49:37 UTC 2026","passed","Sat Mar 28 14:49:37 UTC 2026","","exhaustive state × event transition matrix","",""
"","0","sends GET to /sims/{iccid}","createEsimService — get","Sat Mar 28 14:49:41 UTC 2026","passed","Sat Mar 28 14:49:41 UTC 2026","","URL construction","",""
"","1","CREATED clears errors on success","Order Lifecycle State Machine","Sat Mar 28 14:49:37 UTC 2026","passed","Sat Mar 28 14:49:37 UTC 2026","","context invariants","",""
"","0","validates validation error fixture","error contracts","Sat Mar 28 14:49:43 UTC 2026","passed","Sat Mar 28 14:49:43 UTC 2026","","","",""
"","1","NOT_FOUND + FETCH → NOT_FOUND","eSIM Fetch Lifecycle State Machine","Sat Mar 28 14:49:37 UTC 2026","passed","Sat Mar 28 14:49:37 UTC 2026","","exhaustive state × event transition matrix","",""
"","1","sends package_id in FormData","createOrderService — submit","Sat Mar 28 14:49:41 UTC 2026","passed","Sat Mar 28 14:49:41 UTC 2026","","FormData request construction","",""
"","","parses live eSIM response without errors for the first iccid","live contract — GET /sims/{iccid}","Sat Mar 28 14:52:10 UTC 2026","skipped","","","","",""
"","0","FAILED + TTL_EXPIRED → FAILED","OAuth2 Token State Machine","Sat Mar 28 14:49:37 UTC 2026","passed","Sat Mar 28 14:49:37 UTC 2026","","exhaustive state × event transition matrix","",""
"","1","propagates ETIMEDOUT from fetchEsim after successful order","runAiraloOrderFlow","Sat Mar 28 14:49:41 UTC 2026","passed","Sat Mar 28 14:49:41 UTC 2026","","network-level errors (no HTTP response)","",""
"","1","EXPIRED + FAILURE → EXPIRED","OAuth2 Token State Machine","Sat Mar 28 14:49:37 UTC 2026","passed","Sat Mar 28 14:49:37 UTC 2026","","exhaustive state × event transition matrix","",""
"","1","transitions to FAILED on authentication failure","OAuth2 Token State Machine","Sat Mar 28 14:49:37 UTC 2026","passed","Sat Mar 28 14:49:37 UTC 2026","","REQUESTING → FAILED","",""
"","248","rejects order with zero quantity as 422","Live Airalo Partner API","Sat Mar 28 14:52:03 UTC 2026","passed","Sat Mar 28 14:52:03 UTC 2026","","Order submission — POST /orders","",""
"","0","always sends grant_type = client_credentials","createAuthService — getToken","Sat Mar 28 14:49:42 UTC 2026","passed","Sat Mar 28 14:49:42 UTC 2026","","FormData request construction","",""
